bloco	parcela	n	p	k	ms_folha	ms_lenho	ms_casca	ms_galho	altura	dap	volume	p_resina	mo_solo	p_h_solo	k_solo	ca_solo	mg_solo	h_al_solo	al_solo	sb	ctc	v	ca_ctc	mg_ctc	m	compartimento	n_2	p_2	k_2	ca	mg	s	b	cu	fe	mn	zn	Dose_N	Dose_P	Dose_K
C	5	1	0	1	2651.87130457746	6348.73064623955	759.886679665738	1908.15849489796	7.05	0.0555450751390715	22.777570504131	2	12	3.8	0.7	2	1	22	4	3.7	25.7	14	8	4	52	GALHO	9483.54771964285	1650.50013560831	11544.3588941326	4531.87642538265	2862.23774234694	841.056432547417	24546.6875254	7632.63397959183	61061.0718367347	997966.892831632	19081.5849489796	140	0	180
C	5	1	0	1	2651.87130457746	6348.73064623955	759.886679665738	1908.15849489796	7.05	0.0555450751390715	22.777570504131	2	12	3.8	0.7	2	1	22	4	3.7	25.7	14	8	4	52	CASCA	3457.48439247911	444.424106715836	6136.08493830083	6307.05944122562	2279.66003899721	275.593825968693	15827.5368504358	9878.52683565459	22036.7137103064	867790.588178272	9878.52683565459	140	0	180
C	6	1	1	1	2612.74308410138	16121.5193291284	1212.28035359327	1990.14973628692	6.2	0.0636619772367581	26.3135292477108	1	14	4.1	0.2	3	2	22	4	5.2	27.2	19	11	7	43	FOLHA	45540.1119558871	4041.15207933349	24494.4664134505	15872.4142359159	5356.12332240783	3092.40207601105	80468.8914424505	15676.4585046083	478131.984390553	3041232.94989401	41803.8893456221	140	40	180
C	6	1	1	1	2612.74308410138	16121.5193291284	1212.28035359327	1990.14973628692	6.2	0.0636619772367581	26.3135292477108	1	14	4.1	0.2	3	2	22	4	5.2	27.2	19	11	7	43	LENHO	29341.1651790138	2506.45630209918	50782.7858867546	14912.4053794438	5239.49378196674	4008.36801809726	113321.969464373	48364.5579873853	2224769.66741972	2257012.70607798	532010.137861239	140	40	180
C	6	1	1	1	2612.74308410138	16121.5193291284	1212.28035359327	1990.14973628692	6.2	0.0636619772367581	26.3135292477108	1	14	4.1	0.2	3	2	22	4	5.2	27.2	19	11	7	43	GALHO	16995.8787478903	4337.73841386855	15821.690403481	17861.5938831751	1641.87353243671	956.187749137438	30000.8599942185	5970.44920886076	75625.6899789029	2141401.11624473	15921.1978902954	140	40	180
C	6	1	1	1	2612.74308410138	16121.5193291284	1212.28035359327	1990.14973628692	6.2	0.0636619772367581	26.3135292477108	1	14	4.1	0.2	3	2	22	4	5.2	27.2	19	11	7	43	CASCA	5176.43710984327	2122.0407297978	12516.7946508505	26821.7028232512	2545.78874254587	486.743751608147	26695.8225833436	13335.083889526	24245.6070718655	1908129.27655581	15759.6445967125	140	40	180
C	6	1	0	1	1418.90604554865	6124.22167324955	504.128003590664	824.118542713568	6.58	0.0579960612626867	23.1766177959152	4	17	4.5	2.3	7	4	20	2	13.3	33.3	40	21	12	13	FOLHA	25128.8260666667	2542.72725771544	13940.7518975155	7413.78408799172	2731.39413768116	1543.47291154472	38226.1411774629	9932.34231884058	224187.155196687	1240123.88380952	18445.7785921325	140	40	180
C	6	1	0	1	1418.90604554865	6124.22167324955	504.128003590664	824.118542713568	6.58	0.0579960612626867	23.1766177959152	4	17	4.5	2.3	7	4	20	2	13.3	33.3	40	21	12	13	LENHO	19291.2982707361	0	16076.0818922801	6430.43275691203	612.422167324955	1294.72774171316	52585.8814682896	12248.4433464991	710409.714096948	808397.260868941	159229.763504488	140	40	180
C	6	1	0	1	1418.90604554865	6124.22167324955	504.128003590664	824.118542713568	6.58	0.0579960612626867	23.1766177959152	4	17	4.5	2.3	7	4	20	2	13.3	33.3	40	21	12	13	GALHO	4268.93405125628	1017.1764226906	6407.52166959799	3832.15122361809	1050.7511419598	379.555707533369	13349.8050285638	4120.59271356784	30492.386080402	524139.393165829	10713.5410552764	140	40	180
C	6	1	0	1	1418.90604554865	6124.22167324955	504.128003590664	824.118542713568	6.58	0.0579960612626867	23.1766177959152	4	17	4.5	2.3	7	4	20	2	13.3	33.3	40	21	12	13	CASCA	2329.07137658887	509.174665865106	5003.47043563734	6843.53764874326	1247.71680888689	242.213443662719	12017.0167321535	3528.89602513465	60999.4884344703	567144.004039497	5545.4080394973	140	40	180
